case,E,num_edges,num_variables,timerun
Neal_Vconst15_face,78237.01695494007,7,55,771.9816727638245
Neal_Vconst15_faceEdge,68815.59040781291,5,55,1102.805461883545
Neal_Vconst15_faceEdgePoint,68815.59040781291,5,55,1161.1428973674774
Neal_Vconst10_face,72377.06835029417,7,55,2034.995001792908
Neal_Vconst10_faceEdge,78139.0866300282,9,55,3727.469530820847
Neal_V2lv_face,99914.25524627534,22,55,2094.2962172031403
Neal_V2lv_faceEdge,110497.00526117536,29,55,5493.268893480301
Neal_V2lv_faceEdgePoint,105204.83109310771,28,55,4176.081844806671
Neal_Vconst10_faceEdgePoint,75219.45266344985,11,55,2909.019647359848
