case,E,num_edges,num_variables,timerun
Ga_Vconst15_face,28518.45982875985,45,55,38.13275170326233
Ga_Vconst15_faceEdge,17612.72447253436,72,55,73.44497752189636
Ga_Vconst10_face,10944.38245242606,84,55,56.87497282028198
Ga_Vconst10_faceEdge,9958.305027805784,154,55,100.85521531105042
Ga_V2lv_face,27186.59985467931,188,55,105.0507950782776
Ga_V2lv_faceEdge,10944.38245242606,306,55,139.68936920166016
Ga_V2lv_faceEdgePoint,55483.92243242854,330,55,129.39011883735657
Ga_Vconst15_faceEdgePoint,10185.48659903705,89,55,54.56068134307861
