case,E,num_edges,num_variables,timerun
OrTools_Vconst10_face,93527.86838379946,10,204,1800.1858339309692
OrTools_Vconst15_face,78237.01695494007,7,138,1800.1704835891724
OrTools_Vconst15_faceEdge,68815.59040781291,5,204,1800.5225989818573
OrTools_Vconst15_faceEdgePoint,68815.59040781291,5,221,1800.278544664383
OrTools_Vconst10_faceEdge,64255.89593857615,5,323,1800.5819778442385
OrTools_Vconst10_faceEdgePoint,64255.89593857615,5,351,1800.3744988441467
OrTools_V2lv_face,89037.41775805036,9,408,1800.8021748065948
OrTools_V2lv_faceEdge,64255.89593857615,5,646,1806.7356278896327
OrTools_V2lv_faceEdgePoint,7940.856344301431,2,702,1821.4701631069183
